氢_质量百分数	H_Wt%	氢_原子百分数	H_Atomic%	氢_分布状态	H_Distribution
钐_质量百分数	Sm_Wt%	钐_原子百分数	Sm_Atomic%	钐_分布状态	Sm_Distribution
铕_质量百分数	Eu_Wt%	铕_原子百分数	Eu_Atomic%	铕_分布状态	Eu_Distribution
钆_质量百分数	Gd_Wt%	钆_原子百分数	Gd_Atomic%	钆_分布状态	Gd_Distribution
铽_质量百分数	Tb_Wt%	铽_原子百分数	Tb_Atomic%	铽_分布状态	Tb_Distribution
镝_质量百分数	Dy_Wt%	镝_原子百分数	Dy_Atomic%	镝_分布状态	Dy_Distribution
钬_质量百分数	Ho_Wt%	钬_原子百分数	Ho_Atomic%	钬_分布状态	Ho_Distribution
铒_质量百分数	Er_Wt%	铒_原子百分数	Er_Atomic%	铒_分布状态	Er_Distribution
铥_质量百分数	Tm_Wt%	铥_原子百分数	Tm_Atomic%	铥_分布状态	Tm_Distribution
镱_质量百分数	Yb_Wt%	镱_原子百分数	Yb_Atomic%	镱_分布状态	Yb_Distribution
镥_质量百分数	Lu_Wt%	镥_原子百分数	Lu_Atomic%	镥_分布状态	Lu_Distribution
铪_质量百分数	Hf_Wt%	铪_原子百分数	Hf_Atomic%	铪_分布状态	Hf_Distribution
钽_质量百分数	Ta_Wt%	钽_原子百分数	Ta_Atomic%	钽_分布状态	Ta_Distribution
钨_质量百分数	W_Wt%	钨_原子百分数	W_Atomic%	钨_分布状态	W_Distribution
铼_质量百分数	Re_Wt%	铼_原子百分数	Re_Atomic%	铼_分布状态	Re_Distribution
锇_质量百分数	Os_Wt%	锇_原子百分数	Os_Atomic%	锇_分布状态	Os_Distribution
铱_质量百分数	Ir_Wt%	铱_原子百分数	Ir_Atomic%	铱_分布状态	Ir_Distribution
铂_质量百分数	Pt_Wt%	铂_原子百分数	Pt_Atomic%	铂_分布状态	Pt_Distribution
金_质量百分数	Au_Wt%	金_原子百分数	Au_Atomic%	金_分布状态	Au_Distribution
汞_质量百分数	Hg_Wt%	汞_原子百分数	Hg_Atomic%	汞_分布状态	Hg_Distribution
铊_质量百分数	Tl_Wt%	铊_原子百分数	Tl_Atomic%	铊_分布状态	Tl_Distribution
铅_质量百分数	Pb_Wt%	铅_原子百分数	Pb_Atomic%	铅_分布状态	Pb_Distribution
铋_质量百分数	Bi_Wt%	铋_原子百分数	Bi_Atomic%	铋_分布状态	Bi_Distribution
